TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,BBTC,EQ,1136.3,1147.9,1122.0,1130.25,1130.0,1134.55,50147,56893398.0,2804,INE050A01025
2020-01-22,BCG,BE,5.65,5.8,5.4,5.6,5.65,5.65,139268,765128.85,212,INE425B01027
2020-01-22,BCP,BE,19.55,21.0,19.5,20.55,20.05,20.25,19383,392499.55,108,INE905P01028
2020-01-22,BDL,EQ,311.0,322.95,306.7,307.75,307.1,305.6,877632,277503054.0,24322,INE171Z01018
2020-01-22,BEARDSELL,BE,9.25,9.9,9.25,9.7,9.7,9.7,58,560.9,5,INE520H01022
2020-01-22,BEDMUTHA,BE,16.4,16.45,16.2,16.3,16.2,17.05,656,10693.2,11,INE844K01012
2020-01-22,BEL,EQ,105.05,105.05,100.0,100.95,100.7,105.05,15602460,1585780608.3,48713,INE263A01024
2020-01-22,BEML,EQ,1007.25,1011.95,990.25,997.65,994.1,999.6,203265,203134524.9,7101,INE258A01016
2020-01-22,BEPL,EQ,52.8,53.6,52.05,52.3,52.3,52.3,371051,19527758.25,5353,INE922A01025
2020-01-22,BERGEPAINT,EQ,550.1,551.6,537.5,539.85,539.0,549.45,1634518,889899697.0,27882,INE463A01038
2020-01-22,BETA,SM,73.2,73.2,72.25,72.25,72.25,78.0,2400,174160.0,3,INE351Y01019
2020-01-22,BFINVEST,EQ,326.15,330.0,320.15,321.55,321.05,324.65,39914,12942460.0,1528,INE878K01010
2020-01-22,BFUTILITIE,EQ,345.0,345.7,336.0,338.45,338.0,342.55,97026,33016275.95,2509,INE243D01012
2020-01-22,BGLOBAL,BE,1.35,1.35,1.3,1.3,1.3,1.35,3320,4442.75,10,INE224M01013
2020-01-22,BGRENERGY,EQ,38.1,38.75,37.2,37.35,37.2,38.1,80771,3060137.25,691,INE661I01014
